ktype,filiere,region,sau,umo,ugb,nb_vl,surface_sfp,surface_herbe_pp,surface_herbe_pt,surface_culture
Un agn. au printemps Herbe dominants,Bovins lait,0,185.0,0.0,179.5,0.0,176.5,20.0,156.5,8.5
Deux périodes d'agn. Bergerie et herbe,Bovins viande,0,150.0,0.0,182.0,0.0,130.0,15.0,115.0,20.0
Un agn. au printemps Herbe dominants,Bovins lait,0,100.0,0.0,115.9,0.0,100.0,100.0,0.0,0.0
Un agn. au printemps Herbe dominants,Bovins lait,0,120.0,0.0,123.4,0.0,100.0,70.0,30.0,20.0
Un agn. au printemps Herbe dominants,Bovins lait,0,200.0,0.0,197.8,0.0,190.0,90.0,100.0,10.0
Alimentation sèche ,Ovins viande,0,100.0,0.0,55.8,0.0,15.5,11.0,4.5,84.5
200 brebis race bouchère - Batiment,Ovins viande,0,100.0,0.0,28.4,0.0,6.5,6.5,0.0,93.5
200 brebis - Romane - 100 Ha,Ovins viande,0,100.0,0.0,28.4,0.0,6.5,0.0,6.5,93.5
Ile de france - 1 agnelage en automne,Ovins viande,0,100.0,0.0,55.8,0.0,17.0,11.0,6.0,83.0
600 brebis IDF - 3 périodes d'agnelage,Ovins viande,0,180.0,0.0,83.8,0.0,24.0,24.0,0.0,156.0
Un agn. en automne Bergerie dominants,Ovins viande,0,120.0,0.0,61.5,0.0,20.0,5.0,15.0,100.0
Un agn. en automne Bergerie et herbe,Ovins viande,0,120.0,0.0,61.1,0.0,45.0,5.0,40.0,75.0
